Value,Disaggregation combinations using this value,Number of indicators
General secondary education,1,1
General secondary,1,1
Higher education,1,1
Higher,1,1
Incomplete secondary education,1,1
Lower secondary,1,1
Post-secondary vocational,1,1
Primary,1,1
Vocational secondary education,1,1
Vocational secondary,1,1
