Value,Disaggregation combinations using this value,Number of indicators
"Above-ground biomass reserves in forests, thousands c.m.",1,1
"Annual net rate of change of forest area,%",1,1
"Forest area included in the forest management certification system, independently verified, thousands ha",1,1
"Proportion of forest area located in legally protected areas,%",1,1
"Proportion of forest area managed in accordance with long-term sustainable forest management plans,%",1,1
