Value,Disaggregation combinations using this value,Number of indicators
Cooperation and partnerships,1,1
Integrated government/data-driven policies,1,1
Migrant rights,1,1
Mobility dimensions in crises,1,1
"Safe, orderly and regular migration ",1,1
Socio-economic well-being,1,1
