Value,Disaggregation combinations using this value,Number of indicators
"Confectionery products, kg",1,1
"Dried fruits, kg",1,1
"Meat by-products, kg",1,1
"Meat, kg",1,1
"Other products of non-animal origin, kg",1,1
"Soft drinks, bottles",1,1
"Vegetable oil, liters",1,1
"Vegetables and fruits, kg",1,1
