Value,Disaggregation combinations using this value,Number of indicators
10. HIV Counselling and Test Services,1,1
11. HIV Treatment and Care Services,1,1
12. HIV Confidentiality,1,1
13. HPV Vaccine,1,1
1.Maternity Care,1,1
2. Life Saving Commodities,1,1
3. Abortion,1,1
4. Post-Abortion Care,1,1
5. Contraceptive Services,1,1
6. Contraceptive Consent,1,1
7. Emergency Contraception,1,1
8. Sexuality Education Curriculum Laws,1,1
9. Sexuality Education Curriculum Topics,1,1
