Value,Disaggregation combinations using this value,Number of indicators
15-24 / Both sexes,2,2
15-24 / Men,2,2
15-24 / Women,2,2
15-29 / Both sexes,1,1
15-29 / Men,1,1
15-29 / Women,1,1
15-34 / Both sexes,1,1
15-34 / Men,1,1
15-34 / Women,1,1
15+ / Men,1,1
15+ / Women,1,1
25-64 / Both sexes,1,1
25-64 / Men,1,1
25-64 / Women,1,1
