Value,Disaggregation combinations using this value,Number of indicators
Clerical support workers,1,1
Craft and related trades workers,1,1
Elementary occupations,1,1
"Legislators, senior officials and managers",1,1
Plant and machine operators and assemblers,1,1
Professionals,1,1
Service and shop and Sales Workers,1,1
Technicians and associate professionals,1,1
