Value,Disaggregation combinations using this value,Number of indicators
Agriculture,1,1
Construction,1,1
Industry,1,1
Other activities,1,1
Public administration; education; health and social work,1,1
Transportation and storage; information and communication,1,1
Wholesale and retail trade; accomodation and food service activities,1,1
