Year,Mediul de reședință,Sisteme de încălzire a locuințelor -,Sisteme de încălzire a locuințelor - urban,Sisteme de încălzire a locuințelor - rural,Pregătirea alimentelor -,Pregătirea alimentelor - urban,Pregătirea alimentelor - rural,Value
2016,,,,,,"Lemne, deșeuri și cărbune",,
2016,,,,,,Energie electrică,,
2016,,,,,,,Gaz natural/gaz lichefiat,
2016,,,,,,,"Lemne, deșeuri și cărbune",
2016,,,,,,,Energie electrică,
2017,,,,,,,,
2017,Urban,,,,,,,
2017,Rural,,,,,,,
2017,,Centralizat,,,,,,
2017,,"Gaz natural, electricitate",,,,,,
2017,,"Lemne, deșeuri și cărbune",,,,,,
2017,,,Centralizat,,,,,
2017,,,"Gaz natural, electricitate",,,,,
2017,,,"Lemne, deșeuri și cărbune",,,,,
2017,,,,Centralizat,,,,
2017,,,,"Gaz natural, electricitate",,,,
2017,,,,"Lemne, deșeuri și cărbune",,,,
2017,,,,,Gaz natural/gaz lichefiat,,,
2017,,,,,"Lemne, deșeuri și cărbune",,,
2017,,,,,Energie electrică,,,
2017,,,,,,Gaz natural/gaz lichefiat,,
2017,,,,,,"Lemne, deșeuri și cărbune",,
2017,,,,,,Energie electrică,,
2017,,,,,,,Gaz natural/gaz lichefiat,
2017,,,,,,,"Lemne, deșeuri și cărbune",
2017,,,,,,,Energie electrică,
2018,,,,,,,,
2018,Urban,,,,,,,
2018,Rural,,,,,,,
2018,,Centralizat,,,,,,
2018,,"Gaz natural, electricitate",,,,,,
2018,,"Lemne, deșeuri și cărbune",,,,,,
2018,,,Centralizat,,,,,
2018,,,"Gaz natural, electricitate",,,,,
2018,,,"Lemne, deșeuri și cărbune",,,,,
2018,,,,Centralizat,,,,
2018,,,,"Gaz natural, electricitate",,,,
2018,,,,"Lemne, deșeuri și cărbune",,,,
2018,,,,,Gaz natural/gaz lichefiat,,,
2018,,,,,"Lemne, deșeuri și cărbune",,,
2018,,,,,Energie electrică,,,
2018,,,,,,Gaz natural/gaz lichefiat,,
2018,,,,,,"Lemne, deșeuri și cărbune",,
2018,,,,,,Energie electrică,,
2018,,,,,,,Gaz natural/gaz lichefiat,
2018,,,,,,,"Lemne, deșeuri și cărbune",
2018,,,,,,,Energie electrică,
