Year,Types of crimes,Sex,Age group,Forms of violence,Value
2021,Robbery (art. 187),,,,14.5
2021,Brigandage (art. 189),,,,1.8
2021,Blackmail (art 189),,,,2.9
2021,Domestic violence (art.2011),,,,22.6
2021,Hooliganism (art.287),,,,28.2
2021,,Men,,,115.4
2021,,Women,,,93.6
2021,,,0-17 years,,96.8
2021,,,18 years and over,,105.9
2021,,,,Psychological violence,26.5
2021,,,,Physical violence,50.4
2021,,,,Sexual violence,17.9
2022,,,,,116.6
2022,Intentional serious bodily harm (art.151),,,,4.0
2022,Kidnapping a person (art.164),,,,1.1
2022,Sexual assault (art. 171-1751),,,,19.2
2022,Robbery (art. 187),,,,14.9
2022,Brigandage (art. 189),,,,2.3
2022,Blackmail (art 189),,,,2.6
2022,Domestic violence (art.2011),,,,24.3
2022,Hooliganism (art.287),,,,33.0
2022,,Men,,,130.1
2022,,Women,,,104.5
2022,,,0-17 years,,112.1
2022,,,18 years and over,,117.8
2022,,,,Psychological violence,32.4
2022,,,,Physical violence,59.1
2022,,,,Sexual violence,19.2
2023,,,,,120.8
2023,Intentional serious bodily harm (art.151),,,,4.0
2023,Kidnapping a person (art.164),,,,1.0
2023,Sexual assault (art. 171-1751),,,,17.6
2023,Robbery (art. 187),,,,10.9
2023,Brigandage (art. 189),,,,2.0
2023,Blackmail (art 189),,,,3.5
2023,Domestic violence (art.2011),,,,28.2
2023,Hooliganism (art.287),,,,35.0
2023,,Men,,,132.3
2023,,Women,,,110.8
2023,,,0-17 years,,112.8
2023,,,18 years and over,,123.1
2023,,,,Psychological violence,22.3
2023,,,,Physical violence,65.6
2023,,,,Sexual violence,17.6
2024,,,,,130.4
2024,Intentional serious bodily harm (art.151),,,,4.0
2024,Kidnapping a person (art.164),,,,0.8
2024,Sexual assault (art. 171-1751),,,,18.8
2024,Robbery (art. 187),,,,9.7
2024,Brigandage (art. 189),,,,1.2
2024,Blackmail (art 189),,,,2.2
2024,Domestic violence (art.2011),,,,32.4
2024,Hooliganism (art.287),,,,39.1
2024,,Men,,,150.2
2024,,Women,,,113.2
2024,,,0-17 years,,132.2
2024,,,18 years and over,,128.6
2024,,,,Psychological violence,22.9
2024,,,,Physical violence,70.4
2024,,,,Sexual violence,18.8
2025,,,,,130.4
2025,Intentional serious bodily harm (art.151),,,,4.6
2025,Kidnapping a person (art.164),,,,1.8
2025,Sexual assault (art. 171-1751),,,,23.0
2025,Robbery (art. 187),,,,0.2
2025,Brigandage (art. 189),,,,1.6
2025,Blackmail (art 189),,,,2.7
2025,Domestic violence (art.2011),,,,35.7
2025,Hooliganism (art.287),,,,48.8
2025,,Men,,,70.3
2025,,Women,,,60.2
2025,,,0-17 years,,27.3
2025,,,18 years and over,,103.2
2025,,,,Psychological violence,24.4
2025,,,,Physical violence,83.3
2025,,,,Sexual violence,23.2
