Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Existence of disability,Value
2023,Rural,,,,,12.217
2023,,Men,,,,20.495
2023,,Women,,,,16.916
2023,,,0-17,,,37.354
2023,,,18-29,,,25.192
2023,,,30-39,,,31.909
2023,,,40-49,,,16.407
2023,,,50-59,,,6.024
2023,,,60+,,,2.476
2023,,,,I,,29.291
2023,,,,II,,17.835
2023,,,,III,,15.757
2023,,,,IV,,16.918
2023,,,,V,,12.957
2023,,,,,People with disability,8.624
2023,,,,,People without disability,19.139
