Year,Regions,Value
2010,,
2010,North,
2010,South,
2010,Center,
2010,ATU Gagauzia,
2010,Mun. Chisinău,
2011,,12.2
2011,North,6.3
2011,South,6.8
2011,Center,6.4
2011,ATU Gagauzia,-0.4
2011,Mun. Chisinău,14.2
2012,,12.9
2012,North,8.4
2012,South,5.5
2012,Center,9.6
2012,ATU Gagauzia,7.0
2012,Mun. Chisinău,13.6
2013,,11.6
2013,North,8.1
2013,South,7.8
2013,Center,11.8
2013,ATU Gagauzia,5.3
2013,Mun. Chisinău,9.8
2014,,12.4
2014,North,9.1
2014,South,10.4
2014,Center,9.2
2014,ATU Gagauzia,6.8
2014,Mun. Chisinău,11.4
2015,,13.2
2015,North,9.8
2015,South,8.0
2015,Center,8.1
2015,ATU Gagauzia,7.0
2015,Mun. Chisinău,13.5
2016,,14.5
2016,North,9.1
2016,South,7.8
2016,Center,7.3
2016,ATU Gagauzia,6.2
2016,Mun. Chisinău,15.8
2017,,13.5
2017,North,11.3
2017,South,6.1
2017,Center,6.2
2017,ATU Gagauzia,3.7
2017,Mun. Chisinău,14.7
2018,,14.4
2018,North,11.2
2018,South,7.3
2018,Center,7.8
2018,ATU Gagauzia,5.2
2018,Mun. Chisinău,15.4
2019,,14.1
2019,North,7.9
2019,South,4.9
2019,Center,6.2
2019,ATU Gagauzia,0.2
2019,Mun. Chisinău,16.4
2020,,13.7
2020,North,5.5
2020,South,2.2
2020,Center,2.9
2020,ATU Gagauzia,-1.0
2020,Mun. Chisinău,17.5
2021,,13.6
2021,North,2.4
2021,South,1.2
2021,Center,1.9
2021,ATU Gagauzia,-2.7
2021,Mun. Chisinău,17.7
2022,,
2022,North,
2022,South,
2022,Center,
2022,ATU Gagauzia,
2022,Mun. Chisinău,
