Year,Children engaged in economic activity - Age group / Sex,Children engaged in economic activity and household chores - Age group / Sex ,Value
2018,5-11 / Men,,
2018,5-11 / Women,,
2018,12-14 / Both sexes,,
2018,12-14 / Men,,
2018,12-14 / Women,,
2018,15-17 / Both sexes,,
2018,15-17 / Men,,
2018,15-17 / Women,,
2018,,5-17 / Both sexes,
2018,,5-17 / Men,
2018,,5-17 / Women,
2018,,5-11 / Both sexes,
2018,,5-11 / Men,
2018,,5-11 / Women,
2018,,12-14 / Both sexes,
2018,,12-14 / Men,
2018,,12-14 / Women,
2018,,15-17 / Both sexes,
2018,,15-17 / Men,
2018,,15-17 / Women,
2019,,,
2019,5-17 / Both sexes,,
2019,5-17 / Men,,
2019,5-17 / Women,,
2019,5-11 / Both sexes,,
2019,5-11 / Men,,
2019,5-11 / Women,,
2019,12-14 / Both sexes,,
2019,12-14 / Men,,
2019,12-14 / Women,,
2019,15-17 / Both sexes,,
2019,15-17 / Men,,
2019,15-17 / Women,,
2019,,5-17 / Both sexes,
2019,,5-17 / Men,
2019,,5-17 / Women,
2019,,5-11 / Both sexes,
2019,,5-11 / Men,
2019,,5-11 / Women,
2019,,12-14 / Both sexes,
2019,,12-14 / Men,
2019,,12-14 / Women,
2019,,15-17 / Both sexes,
2019,,15-17 / Men,
2019,,15-17 / Women,
2020,,,
2020,5-17 / Both sexes,,
2020,5-17 / Men,,
2020,5-17 / Women,,
2020,5-11 / Both sexes,,
2020,5-11 / Men,,
2020,5-11 / Women,,
2020,12-14 / Both sexes,,
2020,12-14 / Men,,
2020,12-14 / Women,,
2020,15-17 / Both sexes,,
2020,15-17 / Men,,
2020,15-17 / Women,,
2020,,5-17 / Both sexes,
2020,,5-17 / Men,
2020,,5-17 / Women,
2020,,5-11 / Both sexes,
2020,,5-11 / Men,
2020,,5-11 / Women,
2020,,12-14 / Both sexes,
2020,,12-14 / Men,
2020,,12-14 / Women,
2020,,15-17 / Both sexes,
2020,,15-17 / Men,
2020,,15-17 / Women,
2021,,,
2021,5-17 / Both sexes,,
2021,5-17 / Men,,
2021,5-17 / Women,,
2021,5-11 / Both sexes,,
2021,5-11 / Men,,
2021,5-11 / Women,,
2021,12-14 / Both sexes,,
2021,12-14 / Men,,
2021,12-14 / Women,,
2021,15-17 / Both sexes,,
2021,15-17 / Men,,
2021,15-17 / Women,,
2021,,5-17 / Both sexes,
2021,,5-17 / Men,
2021,,5-17 / Women,
2021,,5-11 / Both sexes,
2021,,5-11 / Men,
2021,,5-11 / Women,
2021,,12-14 / Both sexes,
2021,,12-14 / Men,
2021,,12-14 / Women,
2021,,15-17 / Both sexes,
2021,,15-17 / Men,
2021,,15-17 / Women,
2022,,,
2022,5-17 / Both sexes,,
2022,5-17 / Men,,
2022,5-17 / Women,,
2022,5-11 / Both sexes,,
2022,5-11 / Men,,
2022,5-11 / Women,,
2022,12-14 / Both sexes,,
2022,12-14 / Men,,
2022,12-14 / Women,,
2022,15-17 / Both sexes,,
2022,15-17 / Men,,
2022,15-17 / Women,,
2022,,5-17 / Both sexes,
2022,,5-17 / Men,
2022,,5-17 / Women,
2022,,5-11 / Both sexes,
2022,,5-11 / Men,
2022,,5-11 / Women,
2022,,12-14 / Both sexes,
2022,,12-14 / Men,
2022,,12-14 / Women,
2022,,15-17 / Both sexes,
2022,,15-17 / Men,
2022,,15-17 / Women,
2023,,,
2023,5-17 / Both sexes,,
2023,5-17 / Men,,
2023,5-17 / Women,,
2023,5-11 / Both sexes,,
2023,5-11 / Men,,
2023,5-11 / Women,,
2023,12-14 / Both sexes,,
2023,12-14 / Men,,
2023,12-14 / Women,,
2023,15-17 / Both sexes,,
2023,15-17 / Men,,
2023,15-17 / Women,,
2023,,5-17 / Both sexes,
