Year,Clase SE,Grupa de vârstă,Sex,Districts,Value
2015,,,Femei,,
2015,,,,Mun. Chișinău,
2015,,,,Nord,
2015,,,,mun. Balti,
2015,,,,Briceni,
2015,,,,Donduseni,
2015,,,,Drochia,
2015,,,,Edinet,
2015,,,,Falesti,
2015,,,,Floresti,
2015,,,,Glodeni,
2015,,,,Ocnita,
2015,,,,Rascani,
2015,,,,Sangerei,
2015,,,,Soroca,
2015,,,,Centre,
2015,,,,Anenii Noi,
2015,,,,Calarasi,
2015,,,,Criuleni,
2015,,,,Dubasari,
2015,,,,Hancesti,
2015,,,,Ialoveni,
2015,,,,Nisporeni,
2015,,,,Orhei,
2015,,,,Rezina,
2015,,,,Straseni,
2015,,,,Soldanesti,
2015,,,,Telenesti,
2015,,,,Ungheni,
2015,,,,Sud,
2015,,,,Basarabeasca,
2015,,,,Cahul,
2015,,,,Cantemir,
2015,,,,Causeni,
2015,,,,Cimislia,
2015,,,,Leova,
2015,,,,Stefan Voda,
2015,,,,Taraclia,
2015,,,,UTA Găgăuzia,
2016,,,,,
2016,Tehnogen,,,,
2016,Natural (pe genuri),,,,
2016,Biologico-social,,,,
2016,Incendii,,,,
2016,,0-17 ani,,,
2016,,18 ani și peste,,,
2016,,,Bărbați,,
2016,,,Femei,,
2016,,,,Mun. Chișinău,
2016,,,,Nord,
2016,,,,mun. Balti,
2016,,,,Briceni,
2016,,,,Donduseni,
2016,,,,Drochia,
2016,,,,Edinet,
2016,,,,Falesti,
2016,,,,Floresti,
2016,,,,Glodeni,
2016,,,,Ocnita,
2016,,,,Rascani,
2016,,,,Sangerei,
2016,,,,Soroca,
2016,,,,Centre,
2016,,,,Anenii Noi,
2016,,,,Calarasi,
2016,,,,Criuleni,
2016,,,,Dubasari,
2016,,,,Hancesti,
2016,,,,Ialoveni,
2016,,,,Nisporeni,
2016,,,,Orhei,
2016,,,,Rezina,
2016,,,,Straseni,
2016,,,,Soldanesti,
2016,,,,Telenesti,
2016,,,,Ungheni,
2016,,,,Sud,
2016,,,,Basarabeasca,
2016,,,,Cahul,
2016,,,,Cantemir,
2016,,,,Causeni,
2016,,,,Cimislia,
2016,,,,Leova,
2016,,,,Stefan Voda,
2016,,,,Taraclia,
2016,,,,UTA Găgăuzia,
2017,,,,,
2017,Tehnogen,,,,
2017,Natural (pe genuri),,,,
2017,Biologico-social,,,,
2017,Incendii,,,,
2017,,0-17 ani,,,
2017,,18 ani și peste,,,
2017,,,Bărbați,,
2017,,,Femei,,
2017,,,,Mun. Chișinău,
2017,,,,Nord,
2017,,,,mun. Balti,
2017,,,,Briceni,
2017,,,,Donduseni,
2017,,,,Drochia,
2017,,,,Edinet,
2017,,,,Falesti,
2017,,,,Floresti,
2017,,,,Glodeni,
2017,,,,Ocnita,
2017,,,,Rascani,
2017,,,,Sangerei,
2017,,,,Soroca,
2017,,,,Centre,
2017,,,,Anenii Noi,
2017,,,,Calarasi,
2017,,,,Criuleni,
2017,,,,Dubasari,
2017,,,,Hancesti,
2017,,,,Ialoveni,
2017,,,,Nisporeni,
2017,,,,Orhei,
2017,,,,Rezina,
2017,,,,Straseni,
2017,,,,Soldanesti,
2017,,,,Telenesti,
2017,,,,Ungheni,
2017,,,,Sud,
2017,,,,Basarabeasca,
2017,,,,Cahul,
2017,,,,Cantemir,
2017,,,,Causeni,
2017,,,,Cimislia,
2017,,,,Leova,
2017,,,,Stefan Voda,
2017,,,,Taraclia,
2017,,,,UTA Găgăuzia,
2018,,,,,
2018,Tehnogen,,,,
2018,Natural (pe genuri),,,,
2018,Biologico-social,,,,
2018,Incendii,,,,
2018,,0-17 ani,,,
2018,,18 ani și peste,,,
2018,,,Bărbați,,
2018,,,Femei,,
2018,,,,Mun. Chișinău,
2018,,,,Nord,
2018,,,,mun. Balti,
2018,,,,Briceni,
2018,,,,Donduseni,
2018,,,,Drochia,
2018,,,,Edinet,
2018,,,,Falesti,
2018,,,,Floresti,
2018,,,,Glodeni,
2018,,,,Ocnita,
2018,,,,Rascani,
2018,,,,Sangerei,
2018,,,,Soroca,
2018,,,,Centre,
2018,,,,Anenii Noi,
2018,,,,Calarasi,
2018,,,,Criuleni,
2018,,,,Dubasari,
2018,,,,Hancesti,
2018,,,,Ialoveni,
2018,,,,Nisporeni,
2018,,,,Orhei,
2018,,,,Rezina,
2018,,,,Straseni,
2018,,,,Soldanesti,
2018,,,,Telenesti,
2018,,,,Ungheni,
2018,,,,Sud,
2018,,,,Basarabeasca,
2018,,,,Cahul,
2018,,,,Cantemir,
2018,,,,Causeni,
2018,,,,Cimislia,
2018,,,,Leova,
2018,,,,Stefan Voda,
2018,,,,Taraclia,
2018,,,,UTA Găgăuzia,
2019,,,,,
2019,Tehnogen,,,,
2019,Natural (pe genuri),,,,
2019,Biologico-social,,,,
2019,Incendii,,,,
2019,,0-17 ani,,,
2019,,18 ani și peste,,,
2019,,,Bărbați,,
2019,,,Femei,,
2019,,,,Mun. Chișinău,
2019,,,,Nord,
2019,,,,mun. Balti,
2019,,,,Briceni,
2019,,,,Donduseni,
2019,,,,Drochia,
2019,,,,Edinet,
2019,,,,Falesti,
2019,,,,Floresti,
2019,,,,Glodeni,
2019,,,,Ocnita,
2019,,,,Rascani,
2019,,,,Sangerei,
2019,,,,Soroca,
2019,,,,Centre,
2019,,,,Anenii Noi,
2019,,,,Calarasi,
2019,,,,Criuleni,
2019,,,,Dubasari,
2019,,,,Hancesti,
2019,,,,Ialoveni,
2019,,,,Nisporeni,
2019,,,,Orhei,
2019,,,,Rezina,
2019,,,,Straseni,
2019,,,,Soldanesti,
2019,,,,Telenesti,
2019,,,,Ungheni,
2019,,,,Sud,
2019,,,,Basarabeasca,
2019,,,,Cahul,
2019,,,,Cantemir,
2019,,,,Causeni,
2019,,,,Cimislia,
2019,,,,Leova,
2019,,,,Stefan Voda,
2019,,,,Taraclia,
2019,,,,UTA Găgăuzia,
2020,,,,,
2020,Tehnogen,,,,
2020,Natural (pe genuri),,,,
2020,Biologico-social,,,,
2020,Incendii,,,,
2020,,0-17 ani,,,
2020,,18 ani și peste,,,
2020,,,Bărbați,,
2020,,,Femei,,
2020,,,,Mun. Chișinău,
2020,,,,Nord,
2020,,,,mun. Balti,
2020,,,,Briceni,
2020,,,,Donduseni,
2020,,,,Drochia,
2020,,,,Edinet,
2020,,,,Falesti,
2020,,,,Floresti,
2020,,,,Glodeni,
2020,,,,Ocnita,
2020,,,,Rascani,
2020,,,,Sangerei,
2020,,,,Soroca,
2020,,,,Centre,
2020,,,,Anenii Noi,
2020,,,,Calarasi,
2020,,,,Criuleni,
2020,,,,Dubasari,
2020,,,,Hancesti,
2020,,,,Ialoveni,
2020,,,,Nisporeni,
2020,,,,Orhei,
2020,,,,Rezina,
2020,,,,Straseni,
2020,,,,Soldanesti,
2020,,,,Telenesti,
2020,,,,Ungheni,
2020,,,,Sud,
2020,,,,Basarabeasca,
2020,,,,Cahul,
2020,,,,Cantemir,
2020,,,,Causeni,
2020,,,,Cimislia,
2020,,,,Leova,
2020,,,,Stefan Voda,
2020,,,,Taraclia,
2020,,,,UTA Găgăuzia,
2021,,,,,
2021,Tehnogen,,,,
2021,Natural (pe genuri),,,,
2021,Biologico-social,,,,
2021,Incendii,,,,
2021,,0-17 ani,,,
2021,,18 ani și peste,,,
2021,,,Bărbați,,
2021,,,Femei,,
2021,,,,Mun. Chișinău,
2021,,,,Nord,
2021,,,,mun. Balti,
2021,,,,Briceni,
2021,,,,Donduseni,
2021,,,,Drochia,
2021,,,,Edinet,
2021,,,,Falesti,
2021,,,,Floresti,
2021,,,,Glodeni,
2021,,,,Ocnita,
2021,,,,Rascani,
2021,,,,Sangerei,
2021,,,,Soroca,
2021,,,,Centre,
2021,,,,Anenii Noi,
2021,,,,Calarasi,
2021,,,,Criuleni,
2021,,,,Dubasari,
2021,,,,Hancesti,
2021,,,,Ialoveni,
2021,,,,Nisporeni,
2021,,,,Orhei,
2021,,,,Rezina,
2021,,,,Straseni,
2021,,,,Soldanesti,
2021,,,,Telenesti,
2021,,,,Ungheni,
2021,,,,Sud,
2021,,,,Basarabeasca,
2021,,,,Cahul,
2021,,,,Cantemir,
2021,,,,Causeni,
2021,,,,Cimislia,
2021,,,,Leova,
2021,,,,Stefan Voda,
2021,,,,Taraclia,
2021,,,,UTA Găgăuzia,
2022,,,,,
2022,Tehnogen,,,,
2022,Natural (pe genuri),,,,
2022,Biologico-social,,,,
2022,Incendii,,,,
2022,,0-17 ani,,,
2022,,18 ani și peste,,,
2022,,,Bărbați,,
2022,,,Femei,,
2022,,,,Mun. Chișinău,
2022,,,,Nord,
2022,,,,mun. Balti,
2022,,,,Briceni,
2022,,,,Donduseni,
2022,,,,Drochia,
2022,,,,Edinet,
2022,,,,Falesti,
2022,,,,Floresti,
2022,,,,Glodeni,
2022,,,,Ocnita,
2022,,,,Rascani,
2022,,,,Sangerei,
2022,,,,Soroca,
2022,,,,Centre,
2022,,,,Anenii Noi,
2022,,,,Calarasi,
