Year,Indicatori,Value
2010,,
2010,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2010,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2011,,
2011,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2011,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2012,,
2012,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2012,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2013,,
2013,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2013,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2014,,
2014,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2014,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2015,,
2015,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2015,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2016,,
2016,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2016,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2017,,
2017,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2017,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2018,,
2018,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2018,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2019,,
2019,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2019,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2020,,
2020,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2020,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2021,,46.0
2021,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2021,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2022,,47.0
2022,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2022,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2023,,59.0
2023,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,
2023,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,
2024,,61.0
2024,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,71.45
2024,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,77.0
2025,,
2025,Rata cererilor de comunicare a informațiilor de interes public soluționate integral,91.14
2025,Ponderea cererilor de comunicare a informațiilor de interes public examinate în termenele legale,95.0
