Year,Mediu de reședință,Educational level,Wealth quintiles ,Grupa de vârstă,Statut ocupațional,Starea civilă,Value
2018,,Secundar profesional,,,,,
2018,,Postsecundar profesional,,,,,
2018,,Superior,,,,,
2018,,,I,,,,
2018,,,II,,,,
2018,,,III,,,,
2018,,,IV,,,,
2018,,,V,,,,
2018,,,,15-19,,,
2018,,,,20-24,,,
2018,,,,25-29,,,
2018,,,,30-34,,,
2018,,,,35-39,,,
2018,,,,40-44,,,
2018,,,,45-49,,,
2018,,,,,Salariată,,
2018,,,,,Self-employed ,,
2018,,,,,Pensionară,,
2018,,,,,Șomeră,,
2018,,,,,Alt statut,,
2018,,,,,,Căsătorită,
2018,,,,,,Concubinaj,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Primar,,,,,
2019,,Gimnazial,,,,,
2019,,Secundar general,,,,,
2019,,Secundar profesional,,,,,
2019,,Postsecundar profesional,,,,,
2019,,Superior,,,,,
2019,,,I,,,,
2019,,,II,,,,
2019,,,III,,,,
2019,,,IV,,,,
2019,,,V,,,,
2019,,,,15-19,,,
2019,,,,20-24,,,
2019,,,,25-29,,,
2019,,,,30-34,,,
2019,,,,35-39,,,
2019,,,,40-44,,,
2019,,,,45-49,,,
2019,,,,,Salariată,,
2019,,,,,Self-employed ,,
2019,,,,,Pensionară,,
2019,,,,,Șomeră,,
2019,,,,,Alt statut,,
2019,,,,,,Căsătorită,
2019,,,,,,Concubinaj,
2020,,,,,,,73.3
2020,Urban,,,,,,72.5
2020,Rural,,,,,,74.0
2020,,Primar,,,,,59.2
2020,,Gimnazial,,,,,67.8
2020,,Secundar general,,,,,77.9
2020,,Secundar profesional,,,,,70.6
2020,,Postsecundar profesional,,,,,74.4
2020,,Superior,,,,,77.9
2020,,,I,,,,74.0
2020,,,II,,,,83.9
2020,,,III,,,,72.8
2020,,,IV,,,,69.8
2020,,,V,,,,69.2
2020,,,,15-19,,,68.4
2020,,,,20-24,,,71.3
2020,,,,25-29,,,77.2
2020,,,,30-34,,,71.6
2020,,,,35-39,,,75.4
2020,,,,40-44,,,71.9
2020,,,,45-49,,,71.8
2020,,,,,Salariată,,71.3
2020,,,,,Self-employed ,,85.6
2020,,,,,Pensionară,,79.3
2020,,,,,Șomeră,,80.3
2020,,,,,Alt statut,,73.1
2020,,,,,,Căsătorită,74.3
2020,,,,,,Concubinaj,69.0
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Primar,,,,,
2021,,Gimnazial,,,,,
2021,,Secundar general,,,,,
2021,,Secundar profesional,,,,,
2021,,Postsecundar profesional,,,,,
2021,,Superior,,,,,
2021,,,I,,,,
2021,,,II,,,,
2021,,,III,,,,
2021,,,IV,,,,
2021,,,V,,,,
2021,,,,15-19,,,
2021,,,,20-24,,,
2021,,,,25-29,,,
2021,,,,30-34,,,
2021,,,,35-39,,,
2021,,,,40-44,,,
2021,,,,45-49,,,
2021,,,,,Salariată,,
2021,,,,,Self-employed ,,
2021,,,,,Pensionară,,
2021,,,,,Șomeră,,
2021,,,,,Alt statut,,
2021,,,,,,Căsătorită,
2021,,,,,,Concubinaj,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Primar,,,,,
2022,,Gimnazial,,,,,
2022,,Secundar general,,,,,
2022,,Secundar profesional,,,,,
2022,,Postsecundar profesional,,,,,
2022,,Superior,,,,,
2022,,,I,,,,
2022,,,II,,,,
2022,,,III,,,,
2022,,,IV,,,,
2022,,,V,,,,
2022,,,,15-19,,,
2022,,,,20-24,,,
2022,,,,25-29,,,
2022,,,,30-34,,,
2022,,,,35-39,,,
2022,,,,40-44,,,
2022,,,,45-49,,,
2022,,,,,Salariată,,
2022,,,,,Self-employed ,,
2022,,,,,Pensionară,,
2022,,,,,Șomeră,,
2022,,,,,Alt statut,,
2022,,,,,,Căsătorită,
2022,,,,,,Concubinaj,
2023,,,,,,,
2023,Urban,,,,,,
2023,Rural,,,,,,
2023,,Primar,,,,,
2023,,Gimnazial,,,,,
2023,,Secundar general,,,,,
2023,,Secundar profesional,,,,,
2023,,Postsecundar profesional,,,,,
2023,,Superior,,,,,
2023,,,I,,,,
2023,,,II,,,,
2023,,,III,,,,
2023,,,IV,,,,
2023,,,V,,,,
2023,,,,15-19,,,
2023,,,,20-24,,,
2023,,,,25-29,,,
2023,,,,30-34,,,
2023,,,,35-39,,,
2023,,,,40-44,,,
2023,,,,45-49,,,
2023,,,,,Salariată,,
2023,,,,,Self-employed ,,
2023,,,,,Pensionară,,
2023,,,,,Șomeră,,
2023,,,,,Alt statut,,
2023,,,,,,Căsătorită,
2023,,,,,,Concubinaj,
2024,,,,,,,
2024,Urban,,,,,,
2024,Rural,,,,,,
2024,,Primar,,,,,
2024,,Gimnazial,,,,,
2024,,Secundar general,,,,,
2024,,Secundar profesional,,,,,
2024,,Postsecundar profesional,,,,,
2024,,Superior,,,,,
2024,,,I,,,,
2024,,,II,,,,
2024,,,III,,,,
2024,,,IV,,,,
